contrast,mutation_class,ratio,SE,df,null,z.ratio,p_value_bonferroni,significant,sig_label
nmeningitidis / sepidermidis,C->A,0.17374466481168052,0.045608331808184174,Inf,1,-6.667256344113138,2.371729772834366e-9,TRUE,***
nmeningitidis / spneumoniae,C->A,0.4387138427761966,0.11609041223846885,Inf,1,-3.1136060376539696,0.1681826377006851,FALSE,ns
paeruginosa / sagalactiae,C->A,0.24343153323213193,0.063024144544717,Inf,1,-5.457419149007014,4.396255585858957e-6,TRUE,***
paeruginosa / saureus,C->A,0.22622107496568944,0.058448823304424746,Inf,1,-5.752372217597826,8.007979950709284e-7,TRUE,***
paeruginosa / sepidermidis,C->A,0.24932962711938855,0.06446932592466958,Inf,1,-5.371759739150215,7.095447794100951e-6,TRUE,***
paeruginosa / spneumoniae,C->A,0.6295695982956563,0.16413934816433243,Inf,1,-1.7747952371262672,1,FALSE,ns
sagalactiae / saureus,C->A,0.9293006208442564,0.24053502586353667,Inf,1,-0.28328142971244796,1,FALSE,ns
sagalactiae / sepidermidis,C->A,1.0242289641319078,0.26531051645966475,Inf,1,0.09242054761038719,1,FALSE,ns
sagalactiae / spneumoniae,C->A,2.586228620165285,0.6754621823888505,Inf,1,3.638155127190961,0.02498841971804143,TRUE,*
saureus / sepidermidis,C->A,1.1021503065406437,0.28491260946366626,Inf,1,0.3762506369851561,1,FALSE,ns
saureus / spneumoniae,C->A,2.782983850603407,0.725392972031171,Inf,1,3.9267679464967165,0.00783464239812596,TRUE,**
sepidermidis / spneumoniae,C->A,2.52504929145141,0.6586627675043047,Inf,1,3.550912160933809,0.03493476520966507,TRUE,*
styphimurium / bpertussis,C->G,1.192588450947773,0.33324064494593447,Inf,1,0.6303131755775359,1,FALSE,ns
styphimurium / cjejuni,C->G,0.4522908187415082,0.13781110727961723,Inf,1,-2.6040067956825075,0.838482461256001,FALSE,ns
styphimurium / ecoli,C->G,0.17440456497146145,0.04689173145651776,Inf,1,-6.495307698071449,7.540612367491974e-9,TRUE,***
styphimurium / hinfluenzae,C->G,0.5062558933454886,0.14460562638451313,Inf,1,-2.3831367173686,1,FALSE,ns
styphimurium / kpneumoniae,C->G,0.06954402561445837,0.018597619001247682,Inf,1,-9.96848758820391,1.905476188109839e-21,TRUE,***
styphimurium / lmonocytogenesA,C->G,0.2339062735105767,0.06381275776042727,Inf,1,-5.325379788865189,9.167551446761446e-6,TRUE,***
styphimurium / mtuberculosis,C->G,0.06166549288846163,0.016493326664120213,Inf,1,-10.416452942723406,1.8981499041170824e-23,TRUE,***
styphimurium / nmeningitidis,C->G,1.0530959763234287,0.30313091977707657,Inf,1,0.17972848752547346,1,FALSE,ns
styphimurium / paeruginosa,C->G,0.20547363330877086,0.05508986573649855,Inf,1,-5.902159866435744,3.264836590180163e-7,TRUE,***
styphimurium / sagalactiae,C->G,0.2542389796637976,0.07017498090718421,Inf,1,-4.961531064748397,6.364511047332404e-5,TRUE,***
styphimurium / saureus,C->G,0.11900964272856479,0.03213160693339487,Inf,1,-7.883765842865914,2.8906996351605136e-13,TRUE,***
styphimurium / sepidermidis,C->G,0.16205932339237789,0.044001577752596034,Inf,1,-6.702359499377036,1.866234648244742e-9,TRUE,***
styphimurium / spneumoniae,C->G,0.40406172769951804,0.11278539360710665,Inf,1,-3.2464818731841145,0.10632520846236222,FALSE,ns
bpertussis / cjejuni,C->G,0.3792513824715172,0.11644234682471429,Inf,1,-3.157832775466681,0.14464150353010255,FALSE,ns
bpertussis / ecoli,C->G,0.14624036048048153,0.03971243416681157,Inf,1,-7.079587059597334,1.315720264635626e-10,TRUE,***
bpertussis / hinfluenzae,C->G,0.4245017574530067,0.12232417138161933,Inf,1,-2.973490143308209,0.26793481539340896,FALSE,ns
bpertussis / kpneumoniae,C->G,0.05831351591505886,0.01575201034073808,Inf,1,-10.520716020149115,6.310356852411808e-24,TRUE,***
